date,value
01/01/1973,9007
01/02/1973,8106
01/03/1973,8928
01/04/1973,9137
01/05/1973,10017
01/06/1973,10826
01/07/1973,11317
01/08/1973,10744
01/09/1973,9713
01/10/1973,9938
01/11/1973,9161
01/12/1973,8927
01/01/1974,7750
01/02/1974,6981
01/03/1974,8038
01/04/1974,8422
01/05/1974,8714
01/06/1974,9512
01/07/1974,10120
01/08/1974,9823
01/09/1974,8743
01/10/1974,9129
01/11/1974,8710
01/12/1974,8680
01/01/1975,8162
01/02/1975,7306
01/03/1975,8124
01/04/1975,7870
01/05/1975,9387
01/06/1975,9556
01/07/1975,10093
01/08/1975,9620
01/09/1975,8285
01/10/1975,8466
01/11/1975,8160
01/12/1975,8034
01/01/1976,7717
01/02/1976,7461
01/03/1976,7767
01/04/1976,7925
01/05/1976,8623
01/06/1976,8945
01/07/1976,10078
01/08/1976,9179
01/09/1976,8037
01/10/1976,8488
01/11/1976,7874
01/12/1976,8647
01/01/1977,7792
01/02/1977,6957
01/03/1977,7726
01/04/1977,8106
01/05/1977,8890
01/06/1977,9299
01/07/1977,10625
01/08/1977,9302
01/09/1977,8314
01/10/1977,8850
01/11/1977,8265
01/12/1977,8796
01/01/1978,7836
01/02/1978,6892
01/03/1978,7791
01/04/1978,8192
01/05/1978,9115
01/06/1978,9434
01/07/1978,10484
01/08/1978,9827
01/09/1978,9110
01/10/1978,9070
01/11/1978,8633
01/12/1978,9240